"BlueAvgSigStrLanded","RedAvgSigStrLanded","BlueAvgSigStrPct","RedAvgSigStrPct","BlueAvgTDLanded","RedAvgTDLanded","BlueReachCms","RedReachCms","BlueHeightCms","RedHeightCms","BlueAge","RedAge","RedWins","BlueWins","Winner"
3.77,4.72,0.54,0.56,0.63,0.62,193.04,180.34,182.88,177.8,36,35,4,10,0
3.04,2.38,0.57,0.42,0.76,0.76,185.42,185.42,175.26,175.26,29,30,0,0,1
3.51,2.43,0.43,0.49,0.65,1.03,205.74,198.12,198.12,193.04,32,34,2,6,0
4.33,3.45,0.46,0.48,0.85,2.63,162.56,170.18,165.1,165.1,32,25,3,3,1
7.29,3.16,0.49,0.42,0,0.5,187.96,195.58,180.34,185.42,27,36,2,0,0
3.61,2.15,0.41,0.48,0.96,1.31,195.58,200.66,185.42,187.96,36,28,3,1,0
4.39,2.68,0.43,0.53,2.28,1.25,182.88,187.96,180.34,187.96,36,32,14,14,1
3.54,8.07,0.5,0.67,5.69,3.27,203.2,198.12,193.04,195.58,33,31,7,13,0
4.94,6.43,0.53,0.53,0.91,1.23,185.42,180.34,177.8,177.8,29,37,17,5,1
5.52,4.71,0.56,0.62,2.74,0.31,190.5,200.66,190.5,187.96,32,29,3,6,1
3.92,3.45,0.42,0.41,0.21,0.93,187.96,177.8,182.88,172.72,35,30,10,8,0
2.85,5.75,0.49,0.51,1.42,1.56,175.26,175.26,170.18,167.64,38,31,7,5,0
2.94,5.39,0.61,0.49,1.93,1.84,165.1,157.48,167.64,162.56,30,34,7,2,1
5.64,3.8,0.43,0.43,2,0.33,172.72,177.8,167.64,170.18,28,27,3,1,0
4.44,1.61,0.53,0.45,0.54,5.29,172.72,177.8,165.1,170.18,30,23,6,4,0
3.5,3.82,0.51,0.47,3.53,2.67,180.34,182.88,180.34,182.88,29,26,2,2,0
5.57,3.21,0.54,0.42,0.15,0.38,187.96,198.12,190.5,190.5,36,30,3,4,0
6.27,2.66,0.64,0.37,0,1.94,177.8,198.12,180.34,190.5,34,28,2,0,0
4.9,4.91,0.5,0.52,0.46,1.49,198.12,200.66,193.04,193.04,32,28,4,2,0
2.12,3.16,0.38,0.54,2.29,0.9,162.56,165.1,160.02,162.56,36,37,8,6,1
3.51,5.04,0.39,0.56,0.86,1.17,187.96,190.5,182.88,182.88,31,32,5,4,0
5.67,4.63,0.5,0.45,2.74,0.76,185.42,177.8,182.88,180.34,33,37,1,1,0
3.32,3.35,0.48,0.5,2.26,4.36,165.1,170.18,162.56,170.18,34,33,5,3,1
5.88,4.41,0.51,0.53,1.03,0.75,185.42,177.8,182.88,177.8,35,33,3,5,0
6.31,2.84,0.57,0.52,0.64,0.93,177.8,185.42,175.26,177.8,34,28,4,2,1
3.96,3.31,0.44,0.41,1.61,1.68,180.34,167.64,177.8,167.64,36,37,8,1,1
1.85,3.59,0.48,0.45,1.73,2.43,167.64,165.1,167.64,160.02,32,27,6,2,0
3.07,2.89,0.48,0.44,2.04,4.65,182.88,175.26,180.34,180.34,34,33,2,2,1
3.6,4.81,0.37,0.5,0.7,0.34,170.18,175.26,172.72,167.64,30,31,6,3,0
4.32,3.41,0.61,0.36,2.49,0.69,187.96,200.66,185.42,187.96,29,35,3,1,1
3.72,3.7,0.47,0.42,2.09,1.55,165.1,165.1,165.1,165.1,30,32,10,6,0
3.32,4.74,0.49,0.41,1.12,0.59,177.8,185.42,180.34,182.88,40,37,11,6,1
5.37,4.39,0.52,0.4,0.81,0.67,175.26,177.8,170.18,172.72,27,35,14,3,1
5.6,5.78,0.44,0.42,2.41,2.92,187.96,182.88,177.8,185.42,31,26,3,2,0
3.65,6.18,0.47,0.48,1.07,1.69,180.34,187.96,170.18,185.42,26,34,8,5,0
4.77,8.39,0.5,0.53,0.56,1.62,177.8,165.1,175.26,165.1,33,22,3,4,1
